PROJECT IDEA,TOOL CATEGORY,SUGGESTED TOOLS,MARKETING FUNCTION,INPUTS NEEDED,EXPECTED OUTPUT,STARTER PROMPT OR INSTRUCTIONS
Generate content ideas based on competitor analysis,ENRICHMENT & SIGNALS,Clay,CAMPAIGNS & OUTREACH,Your blog topics + competitor/complentary product domains,50+ validated content ideas,"1. Set up Clay to scrape competitor and complentary blog, newsletter, or content titles
2.  Import list of your own content titles
3. AI generation column: ""Suggest content covered by competitor but not us""
4. Filter for high-relevance ideas and export the top results into your content planning tool or editorial calendar."
Find qualified LinkedIn prospects automatically,ENRICHMENT & SIGNALS,Clay,CAMPAIGNS & OUTREACH,ICP criteria (job titles company size industry),100+ qualified prospects with contact information and scores,"1. Create a new Clay table and set it to search LinkedIn profiles using your ICP criteria. Use the “Search LinkedIn People” block as your base.
2. Add enrichment columns to pull key data for each prospect e.g.    Current role and company, Company size, industry, and HQ location, LinkedIn URL, Work email (using a data provider like Apollo, Clearbit, etc.)
3. Add filters or scoring logic to qualify the leads. Use conditional columns or Claygent to assign scores based on title match, company attributes, or tech stack fit.
4. Optional: Add intent or signal data, like job changes, hiring trends, or recent company news, using enrichment or scraping columns.
5. Export your list of 100+ qualified leads with contact info and scores, ready to push to your CRM, a campaign, or enrichment workflow."
Analyze target account technology stacks,ENRICHMENT & SIGNALS,Clay,CAMPAIGNS & OUTREACH,Target account domains,Technology-based account insights for outreach,"1. Import domain list to Clay
2. Use technology detection enrichment
3. AI/Claygent analysis: ""Identify integration opportunities, competitor tools, and tech stack gaps""
4. Create outreach angles based on current stack
5. Prioritize by opportunity size"
Make simple quote generator (for agencies),“VIBE” CODING & NO CODE,"Lovable, Replit",CONTENT CREATION,Pricing variables and logic,Instant quote tool,"Build quote generator for [your services]. Users select: project type, timeline, scope requirements. Generate: estimated price range, project timeline, next steps. Include 'Get Accurate Quote' lead CTA on site."
Make cost savings calculator,“VIBE” CODING & NO CODE,"Lovable, Replit",CONTENT CREATION,Cost factors in your industry,ROI calculator for prospects,"Build cost calculator showing savings from [your solution]. Input: current process costs, time spent, team size. Output: potential savings with your product, ROI calculation, break-even timeline. Include 'Schedule Demo' CTA and email capture for detailed report."
Create readiness assessment quiz,“VIBE” CODING & NO CODE,"Lovable, Replit, Typeform",CONTENT CREATION,10-15 qualification questions,Lead qualification quiz,"Build '[Your Solution] Readiness Quiz' with 10 questions about their current state, challenges, goals. Score results: Not Ready (0-40%), Getting Close (41-70%), Ready Now (71-100%). Each result includes next steps and lead capture for personalized recommendations."
Build feature comparison checker,“VIBE” CODING & NO CODE,"Lovable, Replit",CONTENT CREATION,Feature list vs competitors,Interactive feature finder,"Create feature comparison tool where visitors select: their needs/requirements, company size, budget range. Show: which products meet their criteria, feature gaps, recommended solution. Include lead capture for 'Get Detailed Comparison' download."
Create industry benchmark calculator,“VIBE” CODING & NO CODE,"Lovable, Replit, Figma Make",CONTENT CREATION,Benchmarks and key metrics,Lead-generating benchmark tool,"Build benchmark calculator for [your industry]. Users input: company size, current metrics (conversion rates, costs, etc.), get comparison to industry standards. Show: where they rank, improvement opportunities, 'Get Personalized Report' lead capture. Include social sharing of results."
Build simple pricing comparison tool,“VIBE” CODING & NO CODE,"Lovable, Replit",CONTENT CREATION,Your pricing vs 2-3 competitors,Interactive pricing widget for website,"Create pricing comparison tool visitors can use on [your website]. Include: dropdown for company size (startup/SMB/enterprise), sliders for key variables (users, features), side-by-side comparison showing your price vs competitors, 'Get Quote' CTA. Make it embeddable and mobile-friendly."
Create engaging marketing jeopardy game,“VIBE” CODING & NO CODE,"Lovable, Replit, Figma Make",CONTENT CREATION,"Industry terminology, company information",Engaging booth or website game for lead generation,"Create Marketing Jeopardy game with: 5 categories about [your industry], 5 questions per category (increasing difficulty), score tracking system, countdown timer, live leaderboard, prize wheel animation, email capture for players, mobile-friendly interface."
Design competitive feature comparison chart,“VIBE” CODING & NO CODE,"Lovable, Replit, Figma Make",CONTENT CREATION,Feature list and competitor information,Professional competitive comparison design for sales use,"Create professional feature comparison table. Headers: Our Product, Competitor A, Competitor B, Competitor C. 15 feature rows with checkmarks (✓), X marks (✗), and partial checks (~). Use alternating row colors for readability, include legend, apply brand colors. Make it suitable for sales presentations."
Build customer reference matching app for your sales team,“VIBE” CODING & NO CODE,Retool,SALES ENABLEMENT,Customer reference database structure,Functional customer reference matching tool,"1. Import or connect your customer reference data and prospect info into Retool.
2. Add a Retool AI Action block to run prompts using OpenAI.
3. Write a dynamic prompt like: “Based on this prospect’s company profile (industry, size, use case), recommend 2 customer references from our list. Include a 1-line reason for each.”
4. Return the response as structured JSON or text and display it in a table or card view.
5.  Add buttons to copy, share, or request approval for each reference using Slack, email, or CR"
Convert spreadsheet ROI calculator to interactive web app,“VIBE” CODING & NO CODE,"Lovable, Replit, Figma Make",CONTENT CREATION,"Existing ROI calculator spreadsheet, formulas, branding",Embeddable ROI calculator replacing gated spreadsheet download,"Turn this ROI calculator into interactive web tool. Include: slider inputs for variables, real-time calculation updates, visual charts showing savings over time, email capture for detailed report, mobile-responsive design with our branding."
Create weekly internal shared marketing report,“VIBE” CODING & NO CODE,"Lovable, Replit",DATA & ANALYTICS,All data sources you want to include weekly,Report/dashboard you can send to your company without needing to make slides,"1. Gather the data sources you want to include (e.g. web traffic, signups, campaign results, product launches, social metrics, content performance). Export as CSVs, connect APIs, or use Google Sheets.
2. Use Lovable or Replit to build a lightweight, branded dashboard. Lovable: prompt “Create a weekly marketing report page with section headers for traffic, content, campaigns, and social” and customize the layout. Replit: use HTML/CSS or a simple dashboard framework that displays your weekly inputs.
3. Add an auto-genereated AI report summary sectiion
4. Publish the report as a live link you can share internally (you can even ask in the prompt to make an index for each week)"
Build interactive ROI calculator from design,“VIBE” CODING & NO CODE,"Lovable, Replit, Figma Make",CONTENT CREATION,Existing ROI calculator design or wireframe,Working ROI calculator from design mockup,"Turn this design into a functional ROI calculator. Add: slider inputs for key variables, real-time calculation logic, visual charts showing savings, email capture form, professional styling. Make calculations update instantly as users adjust inputs."
Create interactive booth contest application,“VIBE” CODING & NO CODE,"Lovable, Replit, Figma Make",CONTENT CREATION,"Contest rules, prizes, booth setup",Interactive booth engagement application,"Build booth contest app with: QR code scanner for badge collection, fun product quiz (3 questions), live leaderboard showing top scores, prize wheel animation, email capture for winners, attendee data export as CSV for follow-up."
Build OKR Dashboard,“VIBE” CODING & NO CODE,"Figma Make, Retool",DATA & ANALYTICS,"Team OKRs, owner names or roles, progress status ",A shareaable OKR dashboard,"1. Prompt Figma Make: “Design an internal OKR dashboard with team objectives, individual key results, progress bars, and last updated info.”
2. Customize layout to include: top-line team goals, grouped KRs by owner or function, and visual progress indicators.
3. Add filters or tabs for team, quarter, and status.
4. Include extras like: wins of the week, comments, and TL;DR summary at the top.
5.  Export as a shareable link or embed in Notion, Webflow, or Framer."
Build smart UTM generator with campaign library,“VIBE” CODING & NO CODE,"Lovable, Replit, Retool",DATA & ANALYTICS,"UTM parameter conventions, past campaign data",UTM generator app with institutional memory of campaigns,"Create UTM builder app: dropdown menus for source/medium/campaign, auto-suggest based on past campaigns, one-click copy for full URL, campaign library to save/reuse parameters, bulk UTM generation from CSV upload, export tracking spreadsheet."
Write press release from product announcement,LLMS,"ChatGPT, Claude",CONTENT CREATION,"Product announcement details, company boilerplate",Professional press release ready for distribution,"Take this product announcement: [details]. Write a press release with: compelling headline, company quote from CEO, product benefits in customer language, availability/pricing info, company boilerplate. Follow AP style, 300-400 words."
Generate social media calendar from blog posts,LLMS,"ChatGPT, Claude",CONTENT CREATION,5 recent blog post URLs or titles,30-day social media content calendar,"Using these 5 blog posts [list], create a 30-day social calendar. For each post: 3 LinkedIn posts, 2 Twitter threads, 1 Facebook post. Include: key quotes, statistics, discussion questions, relevant hashtags. Spread content across 30 days."
Write email sequences from customer testimonials,LLMS,"ChatGPT, Claude",CONTENT CREATION,3-5 customer testimonials and case studies,5-email nurture sequence,"Using these testimonials [paste], create a 5-email nurture sequence: Email 1: Problem introduction with customer quote, Email 2: Solution explanation with success story, Email 3: Results focus with metrics, Email 4: Social proof with multiple testimonials, Email 5: Clear CTA with urgency."
Generate webinar outline from topic,LLMS,"ChatGPT, Claude",CONTENT CREATION,Webinar topic and target audience,Complete webinar outline with slides,"Create a webinar outline for '[topic]' targeting [audience]. Include: compelling title, 5-slide agenda, key talking points for each section, audience engagement moments (polls/Q&A), strong CTA, follow-up resources. 45-minute format."
Create FAQ from support tickets,LLMS,"ChatGPT, Claude",CONTENT CREATION,Common support questions or ticket summaries,Polished FAQ section for website,"Transform these support questions [paste 10-15 common questions] into a professional FAQ section. Group by category, rewrite questions in customer language, provide clear answers, add 'Contact us' CTAs where appropriate."
Brainstorm content ideas by funnel stage and persona,LLMS,"ChatGPT, Claude",CONTENT CREATION,"Target personas, funnel stages, current content audit",Comprehensive content idea list with strategic context,"Based on these personas [list] and funnel stages [awareness/consideration/decision], identify content gaps and generate 20 content ideas. For each idea include: Target persona, Funnel stage, Content format, Key message, Distribution channel suggestion."
Customize messaging for different personas,LLMS,"ChatGPT, Claude",CONTENT CREATION,"Core message, persona definitions",Persona-specific message variations maintaining brand consistency,"Take this core message: [message]. Adapt it for these 3 personas: [persona details]. For each persona version: Adjust language/tone, Highlight relevant benefits, Change examples/proof points, Modify CTAs. Keep core value prop consistent."
Generate campaign asset drafts from brief,LLMS,"ChatGPT, Claude",CONTENT CREATION,"Campaign brief with goals, audience, key messages",Complete set of campaign asset drafts ready for refinement,"From this campaign brief [details], generate draft versions of: Email subject lines (5 options), Social post copy (3 platforms), Landing page headline/subhead, Ad copy variations (3 lengths). All should align with campaign goals and audience."
Create persona-specific demo scripts,LLMS,"ChatGPT, Claude",SALES ENABLEMENT,Standard demo script and 3 detailed persona descriptions,3 persona-tailored demo scripts with relevant examples,"Transform demo script for different personas: ""Using this standard demo script [paste], create 3 customized versions for: [Persona 1: IT Director at 500-person SaaS], [Persona 2: VP Marketing at Series B startup], [Persona 3: Operations Manager at enterprise]. For each: adjust language/examples, emphasize relevant features, include persona-specific objection handling."""
Analyze competitor social content performance,LLMS,"ChatGPT, Claude",COMPETITIVE INTELLIGENCE,Competitor names and social platforms,Social content strategy based on competitor analysis,"Research the top 10 LinkedIn posts from [competitor] in the last month. For each post identify: Engagement rate, Content format, Key message, Comments themes. Then suggest: 5 content ideas we could execute better, Unique angles they haven't covered, Content formats we should try."
Analyze lead patterns to improve scoring,LLMS,"ChatGPT, Claude",DATA & ANALYTICS,Historical leads with win/loss outcomes,Data-backed lead scoring criteria and model with implementation guide,"Analyze this historical lead data [paste CSV or screenshot with: company size, industry, tech stack, funding stage, lead source, outcome (won/lost), deal value]. Identify patterns in won vs lost deals. Create a lead scoring model with: weighted criteria based on success patterns, 0-100 scoring system, clear scoring rubric for sales team. Provide specific recommendations for improving lead qualification."
Transform win/loss data into sales talk tracks,LLMS,"ChatGPT, Claude",SALES ENABLEMENT,Win/loss interview notes or CRM outcome data,Data-driven sales conversation guide with proven language,"Analyze these win/loss reasons [paste data]. Create: 1) Top 5 winning talk tracks using exact customer language, 2) Objection handling scripts for top 3 loss reasons, 3) Competitive positioning based on losses to specific competitors, 4) Discovery questions that identify winning scenarios."
Analyze competitor ads for strategy insights,LLMS,"ChatGPT, Claude",COMPETITIVE INTELLIGENCE,Screenshots of competitor ads from Facebook Ad Library,Competitive ad strategy insights with differentiation opportunities,"First research competitor ads using ChatGPT: ""Find recent ads from [competitor] on Facebook Ad Library."" Then analyze: ""For each ad identify: Primary value proposition, Target audience signals, Emotional triggers used, CTA strategy, Design elements that stand out, Estimated ad objective. Then suggest: How we could differentiate, Angles they're missing, Better approaches for same audience."""
Analyze content performance and optimization opportunities,LLMS,"ChatGPT, Claude",CONTENT CREATION,"Content URLs, performance metrics, conversion data",Content optimization roadmap with specific recommendations,"Analyze content performance data: ""Review these content pieces with their metrics [paste data]. For each piece identify: engagement patterns, conversion performance, topic resonance. Then provide: top 5 optimization opportunities, content format recommendations, topic gaps to fill, republishing/updating priorities."""
Repurpose event sessions into multiple content formats,LLMS,"ChatGPT, Claude",CONTENT CREATION,Event session recordings or transcripts,5+ pieces of content from single session,"Transform this event session into drafts in multiple formats: ""Create: 1) Blog post (1000 words) with key takeaways, 2) LinkedIn article with 5 main points, 3) Twitter/X thread (8-12 tweets), 4) Email to non-attendees with FOMO messaging, 5) Speaker spotlight with interview questions for follow-up."""
Upload ad creative and create variations,DESIGN & CREATIVE,"Figma Make, Canva Magic Design",CONTENT CREATION,Original ad creative file,Multiple ad variations for A/B testing,"Upload your current ad creative. Generate 5 variations: 2 with different headlines keeping same visual, 2 with different color schemes, 1 with different CTA button. Maintain brand consistency. Export in multiple sizes: Facebook (1080x1080), LinkedIn (1200x627), Google Display (728x90)."
Turn data into simple infographics,DESIGN & CREATIVE,"Canva Magic Design, Gamma",CONTENT CREATION,Business data points or statistics,Social-ready infographic designs,"Take these data points [paste 5-7 statistics] and create infographic designs. Include: clear hierarchy with main stat prominent, supporting data points, brand colors, icons for visual interest. Generate versions for LinkedIn (1080x1080) and Instagram Stories (1080x1920)."
Make presentation templates from company colors,DESIGN & CREATIVE,"Canva Magic Design, Gamma",CONTENT CREATION,Company brand colors and logo,Branded slide deck templates,"Create slide deck templates using our brand colors [specify colors] and logo. Include: title slide, agenda slide, content slide with bullet points, image + text slide, conclusion slide with CTA. Professional B2B design, easy to customize."
Create social media templates from brand guidelines,DESIGN & CREATIVE,"Canva Magic Design, Gamma",CONTENT CREATION,"Brand colors, fonts, logo files",Reusable social media templates,"Using our brand guidelines [upload/describe], create social media templates: LinkedIn post template, Instagram story template, Twitter header, Facebook post template. Include logo placement, consistent typography, brand colors, placeholder areas for images/text."
Create headshot generator,DESIGN & CREATIVE,Figma Make,CONTENT CREATION,Team headshots and customer quotes,Professional quote cards and team graphics,"Create a tool to build headshots for: customer quote cards (quote text, headshot, name/title/company), team member cards (headshot, name, title, fun fact). Include brand styling, consistent layouts, easy text replacement. Generate examples for 3 team members and 3 customer quotes."
Generate email header graphics,DESIGN & CREATIVE,"Canva Magic Design, Gamma",CONTENT CREATION,Campaign theme and brand assets,Email header graphics for campaigns,"Create email header graphics for '[campaign name]'. Include: campaign messaging, brand colors/fonts, CTA button design, mobile-optimized dimensions (600px wide). Generate 3 variations: announcement style, promotional style, newsletter style."
Turn statistics into LinkedIn carousel graphics,DESIGN & CREATIVE,Canva Magic Design,CONTENT CREATION,B2B statistics or data points,Professional LinkedIn carousel graphics,"In Canva Magic Design: ""Create LinkedIn carousel from these B2B statistics: [paste data]. Design 6-8 slides with: Title slide with main stat, Supporting data points with icons, Industry comparison slide, Key insight slide, CTA slide. Use professional B2B color scheme and LinkedIn-optimized dimensions (1080x1080)."""
Create visual assets for content promotion,DESIGN & CREATIVE,"Canva Magic Design, Gamma",CONTENT CREATION,"Offer details, key benefits, brand colors",Complete visual asset package for anchor content,"Create a visual package for promoting 'The B2B [Topic] Guide'. Include: ebook cover with 3D effect, LinkedIn post graphic, email header image, landing page hero banner. Professional design with brand colors, clear value proposition, and download CTA."
Create branded quote cards from testimonials,DESIGN & CREATIVE,Figma Make,CONTENT CREATION,"Customer quotes, headshots, brand guidelines",Professional quote card templates for social media sharing,"Create quote card template with: customer quote in brand typography, circular headshot mask, name/title/company, brand colors as background gradient, logo placement. Generate 5 layout variations for different quote lengths. Optimize for LinkedIn and Twitter sharing."
Generate summary slide from written case study,DESIGN & CREATIVE,Gamma,CONTENT CREATION,Existing written case study and customer metrics,Single summary slide for sales presentations,"Upload existing case study to Gamma. Prompt: ""Create a single PowerPoint slide summarizing this case study. Include: Customer logo, challenge in 1 sentence, solution in 1 sentence, 3 key results with metrics, compelling quote. Make it suitable for dropping into sales presentations."""
Create objection handling slides for sales,DESIGN & CREATIVE,"Canva Magic Design, Gamma",CONTENT CREATION,Common objections from sales team feedback,Mix and match objection handling presentation for sales team,"Build interactive presentation with sections: 1) Price objections with ROI frameworks, 2) Feature comparison with competitive positioning, 3) Implementation concerns with success stories, 4) Authority/budget objections with champion strategies. Include: objection verbatim, root concern analysis, 3 response options, supporting proof points."
Create industry report presentation for lead generation,DESIGN & CREATIVE,Gamma,CONTENT CREATION,10-20 survey responses or industry data points,20-slide professional industry report for lead generation,"Build 'State of [Industry] 2024' presentation with: executive summary slide, 5 key findings with data visualizations, industry challenges section with quotes, future predictions based on trends, methodology explanation, compelling CTA slide for full report download."
Auto-generate content drafts from request form submissions,WORKFLOW & AI AGENTS,"Zapier, Make, n8n",CONTENT CREATION,"Content request form, ChatGPT integration, team notification system",Automated content draft generation from requests,Set up workflow: When content request form submitted → Send details to ChatGPT to generate working draft → Save draft to shared folder → Notify team with link to draft and original request.
Sync campaign performance data across all marketing tools,WORKFLOW & AI AGENTS,"Zapier, Make, n8n",DATA & ANALYTICS,Multiple marketing platform APIs (GA4 Facebook Ads LinkedIn etc),Unified campaign optimization recommendations across multiple ad platforms,"Set up workflow: Daily sync of campaign data from Facebook Ads, LinkedIn, Google Ads into Google Sheets. Add a ChatGPT step to analyze cross-platform performance: 'Which channels are cannibalizing each other? Suggest budget reallocation.'"
Automate competitive response campaigns,WORKFLOW & AI AGENTS,"Zapier, Make, n8n",COMPETITIVE INTELLIGENCE,Competitor monitoring tools and ad platforms,Automated competitive response system across advertising platforms,"Set up workflow: When competitor launches new campaign (detected via ad monitoring), send campaign details to ChatGPT: 'Analyze competitor strategy and create counter-campaign recommendations.' Draft responsive ad campaigns in Google/Facebook with suggested messaging."
Generate landing page from product description,WORKFLOW & AI AGENTS,Framer,CONTENT CREATION,"Product description, target audience, brand colors",Fully responsive landing page ready to publish,"Create a SaaS landing page for [product] targeting [audience]. Include hero section with CTA, features grid, testimonials, and pricing. Modern, clean design with conversion optimization."
Build industry-tailored landing page variations,WORKFLOW & AI AGENTS,Framer,CONTENT CREATION,ICP industries and specific pain points,5 industry-specific landing pages optimized for different verticals,"Create landing page template with dynamic sections for different industries. Include: industry-specific headline '{Industry} teams trust {product}', relevant case studies, industry-specific benefits, customer logos from that vertical, tailored CTAs. Build 5 variations: SaaS, Healthcare, Finance, Manufacturing, Retail."
Build AI-powered marketing resource library,WORKFLOW & AI AGENTS,"Retool, Relay.app",SALES ENABLEMENT,Existing marketing assets in Google Drive/Dropbox,Intelligent marketing asset management system with AI search,"Build searchable asset library. When team describes what they need in natural language, find relevant assets using AI. Automatically tag assets by campaign/audience/format, suggest related resources, track usage analytics, notify when assets are outdated (>6 months)."
